What type of vehicle do you use?,What is the fuel type of your vehicle,How often do you use your vehicle?,How would you describe your driving style,How often do you accelerate quickly?,How often do you apply sudden brakes?,What is your average driving speed?,What type of traffic do you usually experience?,How often do you face traffic congestion?,Do you often drive in stop-and-go traffic?,How would you rate your vehicle’s fuel consumption?,How often do you refuel your vehicle?,Approximately how much fuel do you use per week?,Do you think your driving behavior affects fuel consumption?,Are you using the QR-based fuel system?,Is the allocated fuel sufficient for your weekly needs?,Has fuel limitation changed your travel behavior?,What changes have you made due to fuel limits?,Distance (km)
5,1,Daily,1,Never,Sometimes,1,3,Frequently,Yes,1,Twice a week,Less than 10  Liters,Yes,No,Yes,Yes,Changed routes,228
1,2,Daily,3,Sometimes,Sometimes,4,1,Rarely,No,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,443
2,2,Daily,1,Sometimes,Sometimes,2,3,Frequently,Yes,3,Once a week,61–80 Liters,Yes,Yes,No,Yes,Reduced travel,312
2,2,Daily,1,Never,Never,2,2,Frequently,Yes,3,Once a week,61–80 Liters,Yes,Yes,No,Yes,Driving more carefully,296
3,2,Daily,2,Never,Sometimes,3,3,Frequently,Yes,3,Twice a week,41–60 Liters,Not sure,Yes,No,Yes,Reduced travel,512
3,1,Daily,1,Never,Sometimes,2,3,Frequently,Yes,3,Twice a week,41–60 Liters,Yes,No,Yes,No,No change,532
4,1,Daily,1,Sometimes,Sometimes,1,2,Frequently,Yes,2,Once a week,10–20 Liters,No,Yes,No,Yes,Reduced travel,378
4,1,Daily,2,Sometimes,Sometimes,2,2,Frequently,No,2,Once a week,10–20 Liters,Yes,Yes,No,Yes,Changed routes,395
1,2,Daily,2,Sometimes,Sometimes,2,2,Sometimes,No,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,294
1,1,Daily,1,Never,Never,2,2,Sometimes,No,2,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,412
1,2,Several times a week,2,Sometimes,Sometimes,3,1,Rarely,No,1,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,274
5,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,1,Once a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,213
1,2,Several times a week,2,Sometimes,Never,2,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Changed routes,348
